ID,Country,Related,FromYear,ToYear,FromDate,ToDate
faridkot,Faridkot,India,,,,
faroe-islands,Faroe Islands,,,,,
fernando-po,Fernando Po,,,,,
fiji,Fiji,,,,,
finland,Finland,,,,,
fiume,Fiume,,,,,
france,France,,,,,
french-andorra,French Andorra,,,,,
french-colonies,French Colonies,France,,,,
french-congo,French Congo,France,,,,
french-equatorial-africa,French Equatorial Africa,France,,,,
french-guiana,French Guiana,France,,,,
french-guinea,French Guinea,France,,,,
french-india,French India,France,,,,
french-morocco,French Morocco,France,,,,
french-new-hebrides,French New Hebrides,,,,,
french-oceania,French Oceania,France,,,,
french-offices-abroad:-reunion,French Offices Abroad: Reunion,France,,,,
french-polynesia,French Polynesia,,,,,
french-southern-antarctic-territory,French Southern & Antarctic Territory,,,,,
french-sudan,French Sudan,France,,,,
funchal,Funchal,,,,,
gabon,Gabon,,,,,
gambia,Gambia,,,,,
georgia,Georgia,,,,,
german-east-africa,German East Africa,,,,,
german-new-guinea,German New Guinea,,,,,
german-occupations,German Occupations,Germany,,,,
german-offices-abroad,German Offices Abroad,Germany,,,,
german-south-west-africa,German South West Africa,,,,,
germany,Germany,,,,,
ghana,Ghana,,,,,
gibraltar,Gibraltar,,,,,
gilbert-ellice-islands,Gilbert & Ellice Islands,,,,,
gold-coast,Gold Coast,,,,,
grand-comoro,Grand Comoro,,,,,
great-britain,Great Britain,,,,,
greece,Greece,,,,,
greenland,Greenland,,,,,
grenada,Grenada,,,,,
grenada-grenadines,Grenada Grenadines,,,,,
griqualand-west,Griqualand West,,,,,
guadalajara,Guadalajara,Mexico,,,,
guadeloupe,Guadeloupe,,,,,
guam,Guam,United States,,,,
guanacaste,Guanacaste,,,,,
guatemala,Guatemala,,,,,
guernsey,Guernsey,,,,,
guinea,Guinea,,,,,
guinea-bissau,Guinea-Bissau,,,,,
guyana,Guyana,,,,,
gwalior,Gwalior,India,,,,
haiti,Haiti,,,,,
hamburg,Hamburg,Germany,,,,
hanover,Hanover,Germany,,,,
hatay,Hatay,,,,,
hawaii,Hawaii,United States,,,,
hejaz,Hejaz,Saudi Arabia,,,,
heligoland,Heligoland,,,,,
honduras,Honduras,,,,,
hong-kong,Hong Kong,,,,,
horta,Horta,,,,,
huacho,Huacho,Peru,,,,
hungary,Hungary,,,,,
hungary-occupations,Hungary Occupations,Hungary,,,,
hyderabad,Hyderabad,India,,,,
iceland,Iceland,,,,,
idar,Idar,India,,,,
ile,Ile,Rouad,,,,
india,India,,,,,
indo-china,Indo-China,,,,,
indonesia,Indonesia,,,,,
indore,Indore,India,,,,
inhambane,Inhambane,,,,,
inini,Inini,,,,,
ionian-islands,Ionian Islands,,,,,
iran,Iran,,,,,
iraq,Iraq,,,,,
ireland,Ireland,,,,,
isle-of-man,Isle of Man,,,,,
israel,Israel,,,,,
issues-of-the-arabian-government,Issues of The Arabian Government,Syria,,,,
italian-colonies,Italian Colonies,,,,,
italian-east-africa,Italian East Africa,,,,,
italian-offices-abroad,Italian Offices Abroad,Italy,,,,
italy,Italy,,,,,
ivory-coast,Ivory Coast,,,,,
jaipur,Jaipur,India,,,,
jamaica,Jamaica,,,,,
jammu-kashmir,Jammu & Kashmir,India,,,,
japan,Japan,,,,,
japanese-offices-abroad,Japanese Offices Abroad,,,,,
jasdan,Jasdan,India,,,,
jedda,Jedda,Saudi Arabia,,,,
jersey,Jersey,,,,,
jhalawar,Jhalawar,India,,,,
jind,Jind,India,,,,
johore,Johore,Malaysia,,,,
jordan,Jordan,,,,,
karelia,Karelia,,,,,
kathiri,Kathiri,Aden,,,,
kazakhstan,Kazakhstan,,,,,
kedah,Kedah,Malaysia,,,,
kelantan,Kelantan,Malaysia,,,,
kenya,Kenya,,,,,
kiauchau,Kiauchau,,,,,
kionga,Kionga,,,,,
kiribati,Kiribati,,,,,
kishangarh,Kishangarh,India,,,,
korea,Korea,,,,,
kosovo,Kosovo,,,,,
kotah,Kotah,India,,,,
kuwait,Kuwait,,,,,
kyrgyzstan,Kyrgyzstan,,,,,
la-aguera,La Aguera,,,,,
labuan,Labuan,,,,,
lagos,Lagos,,,,,
laos,Laos,,,,,
las-bela,Las Bela,India,,,,
latakia,Latakia,,,,,
latvia,Latvia,,,,,
lebanon,Lebanon,,,,,
leeward-islands,Leeward Islands,,,,,
lesotho,Lesotho,,,,,
liberia,Liberia,,,,,
libya,Libya,,,,,
liechtenstein,Liechtenstein,,,,,
lithuania,Lithuania,,,,,
livonia,Livonia,Russia,,,,
lombardy-venetia,Lombardy Venetia,Austria,,,,
lourenco-marques,Lourenco Marques,,,,,
lubeck,Lubeck,Germany,,,,
luxembourg,Luxembourg,,,,,
macao,Macao,,,,,
macedonia,Macedonia,,,,,
madagascar,Madagascar,,,,,
madeira,Madeira,,,,,
malacca,Malacca,Malaysia,,,,
malagasy-republic,Malagasy Republic,,,,,
malawi,Malawi,,,,,
malaya,Malaya,Malaysia,,,,
malaysia,Malaysia,,,,,
maldive-islands,Maldive Islands,,,,,
mali,Mali,,,,,
malta,Malta,,,,,
manchukuo,Manchukuo,,,,,
mariana-islands,Mariana Islands,,,,,
marienwerder,Marienwerder,,,,,
marshall-islands,Marshall Islands,,,,,
martinique,Martinique,,,,,
mauritania,Mauritania,,,,,
mauritius,Mauritius,,,,,
mayotte,Mayotte,,,,,
mecklenburg-schwerin,Mecklenburg-Schwerin,Germany,,,,
mecklenburg-strelitz,Mecklenburg-Strelitz,Germany,,,,
memel,Memel,,,,,
merida,Merida,Mexico,,,,
mesopotamia,Mesopotamia,,,,,
mexico,Mexico,,,,,
micronesia,Micronesia,,,,,
middle-congo,Middle Congo,,,,,
modena,Modena,Italy,,,,
moheli,Moheli,,,,,
moldova,Moldova,,,,,
monaco,Monaco,,,,,
mongolia,Mongolia,,,,,
montenegro,Montenegro,,,,,
montserrat,Montserrat,,,,,
moquegua,Moquegua,Peru,,,,
morocco,Morocco,,,,,
morvi,Morvi,India,,,,
mount-athos,Mount Athos,,,,,
mozambique,Mozambique,,,,,
mozambique-company,Mozambique Company,,,,,
nabha,Nabha,India,,,,
namibia,Namibia,,,,,
nandgaon,Nandgaon,India,,,,
natal,Natal,,,,,
nauru,Nauru,,,,,
negri-sembilan,Negri Sembilan,Malaysia,,,,
nejdi,Nejdi,Saudi Arabia,,,,
nepal,Nepal,,,,,
netherlands,Netherlands,,,,,
netherlands-antilles,Netherlands Antilles,,,,,
netherlands-indies,Netherlands Indies,,,,,
nevis,Nevis,,,,,
new-britain,New Britain,,,,,
new-brunswick,New Brunswick,Canada,,,,
new-caledonia,New Caledonia,,,,,
new-guinea,New Guinea,,,,,
new-republic,New Republic,,,,,
new-south-wales,New South Wales,Australia,,,,
new-zealand,New Zealand,,,,,
newfoundland,Newfoundland,Canada,,,,
nicaragua,Nicaragua,,,,,
niger,Niger,,,,,
niger-coast-protectorate,Niger Coast Protectorate,,,,,
nigeria,Nigeria,,,,,
niuafoiou,Niuafoiou,,,,,
niue,Niue,,,,,
norfolk-island,Norfolk Island,,,,,
north-borneo,North Borneo,,,,,
north-german-confederation,North German Confederation,Germany,,,,
north-ingermanland,North Ingermanland,,,,,
north-korea,North Korea,,,,,
north-west-pacific-islands,North West Pacific Islands,,,,,
northern-nigeria,Northern Nigeria,,,,,
northern-rhodesia,Northern Rhodesia,,,,,
norway,Norway,,,,,
nossi-be,Nossi-Be,,,,,
nova-scotia,Nova Scotia,Canada,,,,
nowanuggur,Nowanuggur,India,,,,
nyasaland-protectorate,Nyasaland Protectorate,,,,,
nyassa,Nyassa,,,,,
obock,Obock,,,,,
offices-in-tibet,Offices in Tibet,China,,,,
oldenburg,Oldenburg,Germany,,,,
oltre-giuba,Oltre Giuba,,,,,
oman,Oman,,,,,
orange-river-colony,Orange River Colony,,,,,
orchha,Orchha,India,,,,
pahang,Pahang,Malaysia,,,,
paita,Paita,Peru,,,,
pakistan,Pakistan,,,,,
palau,Palau,,,,,
palestine,Palestine,,,,,
palestinian-authority,Palestinian Authority,,,,,
panama,Panama,,,,,
papua,Papua,,,,,
papua-new-guinea,Papua New Guinea,,,,,
paraguay,Paraguay,,,,,
parma,Parma,Italy,,,,
pasco,Pasco,Peru,,,,
patiala,Patiala,India,,,,
penang,Penang,Malaysia,,,,
penrhyn-island,Penrhyn Island,,,,,
perak,Perak,Malaysia,,,,
perlis,Perlis,Malaysia,,,,
peru,Peru,,,,,
philippines,Philippines,,,,,
pisco,Pisco,Peru,,,,
pitcairn-islands,Pitcairn Islands,,,,,
piura,Piura,Peru,,,,
poland,Poland,,,,,
polish-offices-abroad,Polish Offices Abroad,,,,,
ponta-delgada,Ponta Delgada,,,,,
poonch,Poonch,India,,,,
port-of-carupano,Port of Carupano,Venezuela,,,,
port-of-guayana,Port of Guayana,Venezuela,,,,
portugal,Portugal,,,,,
portugal-(azores),Portugal (Azores),,,,,
portugal-(maderia),Portugal (Maderia),,,,,
portuguese-africa,Portuguese Africa,,,,,
portuguese-congo,Portuguese Congo,,,,,
portuguese-guinea,Portuguese Guinea,,,,,
portuguese-india,Portuguese India,,,,,
prince-edward-island,Prince Edward Island,Canada,,,,
province-of-zelaya,Province of Zelaya,Nicaragua,,,,
prussia,Prussia,Germany,,,,
puerto-rico,Puerto Rico,,,,,
puno,Puno,Peru,,,,
quaiti,Quaiti,Aden,,,,
queensland,Queensland,Australia,,,,
quelimane,Quelimane,,,,,
rajasthan,Rajasthan,India,,,,
rajpeepla,Rajpeepla,India,,,,
revolutionary-overprints,Revolutionary Overprints,Spain,,,,
rhodesia,Rhodesia,,,,,
rio-de-oro,Rio De Oro,,,,,
romagna,Romagna,Italy,,,,
roman-states,Roman States,Italy,,,,
romania,Romania,,,,,
romania-occupation,Romania Occupation,Romania,,,,
rouad,Rouad,,,,,
ruanda-urundi,Ruanda-Urundi,,,,,
russia,Russia,,,,,
russian-offices-abroad,Russian Offices Abroad,Russia,,,,
rwanda,Rwanda,,,,,
saar,Saar,,,,,
sabah,Sabah,Malaysia,,,,
samoa,Samoa,,,,,
san-marino,San Marino,,,,,
santander,Santander,Colombia,,,,
sarawak,Sarawak,,,,,
sardinia,Sardinia,Italy,,,,
saseno,Saseno,,,,,
saudi-arabia,Saudi Arabia,,,,,
saxony,Saxony,Germany,,,,
schleswig,Schleswig,,,,,
schleswig-holstein,Schleswig-Holstein,Germany,,,,
selangor,Selangor,Malaysia,,,,
senegal,Senegal,,,,,
senegambia-niger,Senegambia & Niger,,,,,
serbia,Serbia,,,,,
seychelles,Seychelles,,,,,
shanghai,Shanghai,China,,,,
siberia,Siberia,,,,,
sierra-leone,Sierra Leone,,,,,
sinaloa,Sinaloa,Mexico,,,,
singapore,Singapore,,,,,
sirmoor,Sirmoor,India,,,,
slovakia,Slovakia,,,,,
slovenia,Slovenia,,,,,
solomon-islands,Solomon Islands,,,,,
somali-coast,Somali Coast,,,,,
somalia,Somalia,,,,,
somaliland-protectorate,Somaliland Protectorate,,,,,
soruth,Soruth,India,,,,
south-africa,South Africa,,,,,
south-australia,South Australia,Australia,,,,
south-georgia-south-sandwich-isles,South Georgia & South Sandwich Isles,,,,,
south-korea,South Korea,,,,,
south-russia,South Russia,,,,,
south-west-africa,South West Africa,,,,,
southern-nigeria,Southern Nigeria,,,,,
southern-rhodesia,Southern Rhodesia,,,,,
spain,Spain,,,,,
spanish-andorra,Spanish Andorra,,,,,
spanish-guinea,Spanish Guinea,,,,,
spanish-morocco,Spanish Morocco,,,,,
spanish-sahara,Spanish Sahara,,,,,
sri-lanka,Sri Lanka,,,,,
st-christopher,St. Christopher,,,,,
st-helena,St. Helena,,,,,
st-kitts,St. Kitts,,,,,
st-kitts-nevis,St. Kitts-Nevis,,,,,
st-lucia,St. Lucia,,,,,
st-martin,St. Martin,,,,,
st-pierre-miquelon,St. Pierre & Miquelon,,,,,
st-thomas-prince,St. Thomas & Prince,,,,,
st-thomas-prince-island,St. Thomas & Prince Island,,,,,
st-vincent,St. Vincent,,,,,
st-vincent-grenadines,St. Vincent Grenadines,,,,,
ste-marie-de-madagascar,Ste. Marie de Madagascar,,,,,
stellaland,Stellaland,,,,,
straits-settlements,Straits Settlements,,,,,
sudan,Sudan,,,,,
sungei-ujong,Sungei Ujong,Malaysia,,,,
surinam,Surinam,,,,,
swaziland,Swaziland,,,,,
sweden,Sweden,,,,,
switzerland,Switzerland,,,,,
syria,Syria,,,,,
tahiti,Tahiti,,,,,
tajikistan,Tajikistan,,,,,
tanganyika,Tanganyika,,,,,
tangier,Tangier,,,,,
tannu-tuva,Tannu Tuva,,,,,
tanzania,Tanzania,,,,,
tasmania,Tasmania,Australia,,,,
tete,Tete,,,,,
tetuan,Tetuan,,,,,
thailand,Thailand,,,,,
thrace,Thrace,,,,,
thurn-taxis,Thurn & Taxis,Germany,,,,
tibet,Tibet,,,,,
timor,Timor,,,,,
tlacotalpan,Tlacotalpan,Mexico,,,,
tobago,Tobago,,,,,
togo,Togo,,,,,
tokelau,Tokelau,,,,,
tolima,Tolima,Colombia,,,,
tonga,Tonga,,,,,
tonk,Tonk,India,,,,
transcaucasian-federated-republic,Transcaucasian Federated Republic,,,,,
transvaal,Transvaal,,,,,
travancore,Travancore,India,,,,
travancore-cochin,Travancore-Cochin,India,,,,
trengganu,Trengganu,Malaysia,,,,
trinidad,Trinidad,,,,,
trinidad-tobago,Trinidad & Tobago,,,,,
tripolitania,Tripolitania,,,,,
tristan-da-cunha,Tristan da Cunha,,,,,
tunisia,Tunisia,,,,,
turkey,Turkey,,,,,
turkey-in-asia,Turkey in Asia,,,,,
turkish-republic-of-northern-cyprus,Turkish Republic of Northern Cyprus,,,,,
turkmenistan,Turkmenistan,,,,,
turks-caicos-islands,Turks & Caicos Islands,,,,,
turks-islands,Turks Islands,,,,,
tuscany,Tuscany,Italy,,,,
tuvalu,Tuvalu,,,,,
two-sicilies,Two Sicilies,Italy,,,,
ubangi-shari,Ubangi-Shari,,,,,
uganda,Uganda,,,,,
ukraine,Ukraine,,,,,
united-arab-emirates,United Arab Emirates,,,,,
united-nations-geneva,"United Nations, Geneva",,,,,
united-nations-new-york,"United Nations, New York",,,,,
united-nations-vienna,"United Nations, Vienna",,,,,
united-states,United States,,,,,
upper-senegal-niger,Upper Senegal & Niger,,,,,
upper-silesia,Upper Silesia,,,,,
upper-volta,Upper Volta,,,,,
uruguay,Uruguay,,,,,
us-confederate-states,US Confederate States,United States,,,,
uzbekistan,Uzbekistan,,,,,
vanautu,Vanautu,,,,,
vatican-city,Vatican City,,,,,
venezuela,Venezuela,,,,,
victoria,Victoria,Australia,,,,
vietnam,Vietnam,,,,,
virgin-islands,Virgin Islands,,,,,
wadhwan,Wadhwan,India,,,,
wallis-futuna-islands,Wallis & Futuna Islands,,,,,
wenden,Wenden,Russia,,,,
western-australia,Western Australia,Australia,,,,
western-hungary,Western Hungary,Hungary,,,,
western-ukraine,Western Ukraine,,,,,
wurttemberg,Wurttemberg,Germany,,,,
yca,YCA,Peru,,,,
yemen,Yemen,,,,,
yucatan,Yucatan,Mexico,,,,
yugoslavia,Yugoslavia,,,,,
zaire-(congo-democratic-republic),Zaire (Congo Democratic Republic),,,,,
zambezia,Zambezia,,,,,
zambia,Zambia,,,,,
zimbabwe,Zimbabwe,,,,,
